Book Name,Author,Rating,Customers_Rated,Price
Harry Potter and the Philosopher's Stone,J.K. Rowling,4.7 out of 5 stars,"27,524",₹ 282.00
The Monk Who Sold His Ferrari,Robin Sharma,4.5 out of 5 stars,"13,608",₹ 153.00
My Activity- ABC Colouring Book,Dreamland Publications,4.4 out of 5 stars,"1,565",₹ 78.00
Mathematics for Class 10 by R D Sharma (Examination 2021-22),R.D. Sharma,4.6 out of 5 stars,"1,681",₹ 447.00
A Modern Approach to Verbal & Non-Verbal Reasoning (2 Colour Edition),R.S. Aggarwal,4.4 out of 5 stars,"5,236",₹ 540.00
"NCERT textbooks physics, chemistry and biology class 11(5 books combo) 2019 edition",NCERT,4.1 out of 5 stars,819,₹ 759.00
How to Stop Worrying and Start Living: Time-Tested Methods for Conquering Worry,Dale Carnegie,4.4 out of 5 stars,"11,206",₹ 106.00
"The 5 AM Club: Own Your Morning, Elevate Your Life",Robin Sharma,4.4 out of 5 stars,"12,130",₹ 239.00
Mandala: Colouring Books for Adults with Tear Out Sheets (Adult Colouring Book),Wonder House Books,4.5 out of 5 stars,"1,163",₹ 129.00
"The Silent Patient: The record-breaking, multimillion copy Sunday Times bestselling thriller and Richard & Judy book…",Alex Michaelides,4.5 out of 5 stars,"69,987",₹ 360.00
The Theory of Everything: The Origin and Fate of the Universe,Stephen Hawking,4.6 out of 5 stars,"5,689",₹ 155.00
Mandala Art: Colouring Books for Adults with Tear Out Sheets (Adult Colouring Book),Wonder House Books,4.6 out of 5 stars,"1,157",₹ 129.00
Mathematics for Class 11 (set of 2 volumes) Examination 2021-22: Vol. 2,R.D. Sharma,4.6 out of 5 stars,854,₹ 598.00
Peppa Pig: Little Library,Peppa Pig,4.3 out of 5 stars,"13,664",₹ 144.00
Bhagavad Gita: Yatharoop (Hindi),A.C. Bhaktivendanta Swami Prabhupada,4.8 out of 5 stars,"6,626",₹ 170.00
Ruskin Bond - Best Selling Children Story Books Collection (Set of 4 Books),Ruskin Bond,4.5 out of 5 stars,"1,074",₹ 415.00
